CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"29,998","15,431","13,09,637",13.83,0.05,-13.90,-,-,0.05,"15,145","23,650.00",390,525.45,527.55,390,-151.05,528.00,26.96,395,-28,171,
,"84,111","37,097","15,94,702",15.03,0.05,-11.10,-,-,0.05,"5,28,190","23,700.00",260,575.45,576.80,390,-161.05,575.25,26.70,"1,924",-160,985,
,"27,686","7,625","5,11,918",16.22,0.05,-9.05,-,-,0.05,"1,36,305","23,750.00",390,625.30,626.30,"1,625",-150.20,626.60,29.80,446,-12,153,
,"53,371","-8,920","6,42,072",17.40,0.05,-7.30,-,-,0.05,"1,98,055","23,800.00",130,674.80,676.50,260,-154.65,674.90,30.06,"3,513",-433,"2,188",
,"22,895","4,306","3,39,119",18.57,0.05,-6.15,-,-,0.05,"65,000","23,850.00",390,725.10,727.80,390,-147.80,727.20,34.13,323,-35,140,
,"32,821","-5,655","4,37,173",19.73,0.05,-5.05,-,-,0.05,"1,51,905","23,900.00",130,774.60,776.85,65,-148.85,776.00,34.85,789,-130,"4,675",
,"15,763","3,855","2,05,237",20.89,0.05,-4.15,-,-,0.05,"44,135","23,950.00",260,825.00,827.95,130,-156.50,825.60,36.24,40,-3,45,
,"1,12,772","-45,172","9,89,165",22.03,0.05,-3.50,-,-,0.05,"7,77,075","24,000.00",260,875.85,878.05,130,-154.20,875.65,38.09,"7,206","-2,229","6,127",
,"10,960","-2,833","90,707",23.18,0.05,-2.80,-,-,0.05,"63,960","24,050.00",260,924.80,930.00,260,-111.50,945.00,53.84,30,-15,11,
,"20,472","-29,750","2,25,171",24.31,0.05,-2.25,-,-,0.05,"78,845","24,100.00",260,975.40,978.10,130,-150.30,978.10,44.27,498,33,"5,482",
,"5,068","-4,224","46,836",25.44,0.05,-2.00,-,-,0.05,"22,100","24,150.00",65,"1,023.10","1,028.00",650,-239.85,"1,030.00",47.88,7,2,11,
,"27,681","-22,222","1,87,895",26.56,0.05,-1.70,-,-,0.05,"34,905","24,200.00",260,"1,075.75","1,078.30",130,-152.55,"1,079.50",49.27,357,-29,"8,363",
,"5,665","-4,823","47,529",27.68,0.05,-1.45,-,-,0.05,"24,765","24,250.00",130,"1,120.90","1,128.50",650,-682.05,"1,185.15",80.48,12,-6,"1,563",
,"14,539","-14,936","91,540",28.79,0.05,-1.25,-,-,0.05,"5,460","24,300.00",260,"1,175.55","1,178.45",130,-148.95,"1,178.25",51.62,752,-1,"3,240",
,"3,300","-1,757","28,812",29.90,0.05,-1.20,-,-,0.05,"9,360","24,350.00","1,495","1,223.75","1,228.50",130,-619.50,"1,230.50",55.69,18,-5,20,
,"13,429","-18,655","1,29,287",31.00,0.05,-1.15,-,-,0.05,"7,085","24,400.00",260,"1,275.50","1,278.55",130,-135.40,"1,278.35",55.26,"2,989","-2,040","2,496",
,"10,353",-88,"59,420",32.09,0.05,-0.95,-,-,0.05,"54,015","24,450.00",130,"1,319.80","1,333.05",65,-108.95,"1,450.00",112.63,3,-3,"1,634",
,"44,312","-46,772","2,75,557",33.18,0.05,-0.95,-,-,0.05,"68,835","24,500.00","1,495","1,373.50","1,377.10",130,-152.75,"1,373.20",51.09,"3,433","-1,915","11,796",
,"12,381",127,"59,795",34.27,0.05,-0.90,-,-,0.05,"1,495","24,550.00",130,"1,416.50","1,459.50",780,-420.00,"1,480.00",92.34,16,-16,"21,539",
,"6,278","-22,180","1,24,376",35.35,0.05,-0.70,-,-,0.05,"6,825","24,600.00",260,"1,475.45","1,478.95",130,-159.75,"1,479.05",63.01,94,-67,"12,865",
,"2,059",-243,"12,681",36.43,0.05,-0.80,-,-,0.05,"3,055","24,650.00",130,"1,516.60","1,568.15",65,-107.65,"1,573.05",93.66,19,-19,"25,164",
,"6,800","-13,611","56,633",37.50,0.05,-0.75,-,-,0.05,"13,975","24,700.00",260,"1,572.90","1,580.75",260,-145.75,"1,580.55",68.15,133,-122,"17,754",
,"3,544","-9,375","35,221",38.56,0.05,-0.80,-,-,0.05,"12,935","24,750.00",260,"1,622.85","1,629.85",260,-153.45,"1,628.60",67.59,8,-8,"8,978",
,"6,581","-3,047","28,918",39.63,0.05,-0.60,-,-,0.05,"14,690","24,800.00",130,"1,673.70","1,683.60",130,-129.45,"1,690.00",80.38,80,-58,"2,034",
,"1,910",215,"8,656",40.69,0.05,-0.65,-,-,0.05,"5,460","24,850.00",130,"1,710.90","1,785.80",780,-180.00,"1,730.00",72.67,1,-1,2,
,"2,992","-1,393","20,669",41.74,0.05,-0.60,-,-,0.05,"13,585","24,900.00",65,"1,773.70","1,779.30",390,-144.50,"1,779.20",73.38,234,-128,102,
,"1,559",282,"6,087",42.79,0.05,-0.55,-,-,0.05,"9,490","24,950.00",130,"1,812.90","1,876.65",780,-22.95,"1,950.00",137.62,21,-11,10,
,"19,077","-17,316","87,415",43.84,0.05,-0.45,-,-,0.05,"22,945","25,000.00","1,625","1,872.50","1,879.25",65,-159.80,"1,874.00",68.27,"3,567","-2,546","2,677",
,"1,523",-403,"4,938",44.88,0.05,-0.45,-,-,0.05,"11,960","25,050.00",130,"1,824.45","1,947.90",65,-,"2,389.75",-,-,-,6,
,"1,803",-887,"9,553",45.92,0.05,-0.50,-,-,0.05,"24,050","25,100.00",65,"1,970.65","1,984.05",65,-186.75,"1,993.75",94.37,38,-21,12,
,"1,289",330,"2,899",46.96,0.05,-0.45,-,-,0.05,"3,705","25,150.00",130,"2,006.70","2,048.20",65,-,"2,451.75",-,-,-,2,
,"4,447",-936,"18,573",47.99,0.05,-0.35,-,-,0.05,"77,740","25,200.00",260,"2,075.15","2,079.70",130,-156.15,"2,078.55",82.34,180,-148,18,
,"1,300",473,"3,774",49.02,0.05,-0.35,-,-,0.05,130,"25,250.00",130,"2,113.50","2,166.40",780,-202.00,"2,240.00",148.05,13,-5,8,
,"5,266","-2,948","27,523",50.04,0.05,-0.30,-,-,0.05,"16,770","25,300.00",130,"2,173.60","2,185.50",65,-139.10,"2,180.90",88.76,89,-65,25,
,926,-208,"2,930",53.68,0.10,-0.30,-,-,0.05,"10,790","25,350.00","1,690","2,058.95","2,248.75",65,-,"2,731.00",-,-,-,4,
,"10,130",-467,"25,915",52.08,0.05,-0.30,-,-,0.05,"25,415","25,400.00","1,495","2,271.95","2,280.15",130,-155.60,"2,280.35",91.29,212,-151,43,
,701,-26,"1,295",53.09,0.05,-0.35,-,-,0.05,260,"25,450.00","1,820","2,153.80","2,367.65",780,-,"2,751.30",-,-,-,1,
,"13,023","-5,618","41,035",54.11,0.05,-0.30,-,-,0.05,"21,060","25,500.00",260,"2,375.05","2,380.15",130,-145.65,"2,380.10",94.16,"1,870","-1,258",565,
,896,125,"1,550",55.11,0.05,-0.30,-,-,0.10,"5,070","25,550.00",130,"2,406.15","2,444.60",65,-420.00,"2,500.00",144.38,1,-1,4,
,"1,186",-375,"2,309",56.12,0.05,-0.30,-,-,0.05,"4,875","25,600.00",130,"2,442.35","2,538.40","1,690",-208.80,"2,485.00",103.55,58,-47,13,
,976,334,"1,363",60.01,0.10,-0.25,-,-,0.10,"16,770","25,650.00",130,"2,497.60","2,549.75",65,-,"2,983.00",-,-,-,3,
,840,-686,"2,959",58.12,0.05,-0.30,-,-,0.05,65,"25,700.00",130,"2,574.65","2,580.45",130,-156.70,"2,582.40",103.65,39,-27,17,
,695,94,"1,526",59.11,0.05,-0.25,-,-,0.05,"3,835","25,750.00",130,"2,619.15","2,682.85","1,755",260.10,"2,959.60",241.74,1,-,8,
,"1,227",-163,"3,933",60.10,0.05,-0.25,-,-,0.05,"1,300","25,800.00",130,"2,670.45","2,734.60",780,-50.00,"2,810.00",180.25,60,-48,10,
,"1,794",347,"4,725",61.09,0.05,-0.25,-,-,0.05,"1,495","25,850.00",130,"2,701.15","2,835.15",780,-,"1,819.75",-,-,-,1,
,"4,042","2,050","5,369",62.08,0.05,-0.25,-,-,0.05,"1,235","25,900.00",130,"2,753.80","2,843.65",780,-42.90,"2,905.30",182.77,7,-4,4,
,823,-712,"2,801",63.06,0.05,-0.20,-,-,0.05,"3,315","25,950.00",130,"2,797.00","2,850.65",65,-,"3,342.90",-,-,-,1,
,"12,097","-8,948","31,353",64.04,0.05,-0.25,-,-,0.05,"2,470","26,000.00","1,495","2,870.90","2,880.95",130,-151.50,"2,870.95",86.56,"1,954","-1,423",935,
,"1,099",-111,"3,004",65.01,0.05,-0.20,-,-,0.05,130,"26,050.00","1,690","2,729.40","2,993.95",780,-,"3,440.00",-,-,-,2,
,"1,681",-459,"3,234",65.99,0.05,-0.20,-,-,0.05,"8,385","26,100.00",780,"2,671.70","2,993.10",130,-156.25,"2,978.20",109.66,14,-3,70,
,621,-686,"2,082",70.27,0.10,-0.15,-,-,0.05,"1,040","26,150.00",130,"2,993.50","3,150.35",780,-,"2,146.50",-,-,-,1,
,"2,591","-1,427","7,137",67.93,0.05,-0.20,-,-,0.05,"10,205","26,200.00",130,"3,043.35","3,093.80",65,-141.15,"3,110.00",146.16,8,-4,4,
,858,274,"1,772",68.89,0.05,-0.20,-,-,0.05,"1,235","26,250.00",130,"3,022.00","3,151.65",65,-212.70,"3,300.00",214.93,40,-32,8,
,"1,447",-383,"5,943",69.85,0.05,-0.20,-,-,0.05,"4,420","26,300.00","1,495","3,170.40","3,181.30",130,-200.50,"3,179.50",117.89,128,-101,28,
,649,-151,"1,015",74.29,0.10,-0.15,-,-,0.05,325,"26,350.00",130,"3,189.15","3,252.35",65,-,"3,816.80",-,-,-,3,
,"2,749",-3,"4,996",71.77,0.05,-0.20,-,-,0.05,"11,440","26,400.00","1,690","3,048.45","3,302.10",65,-,"3,463.85",-,-,-,1,
,"1,032",212,"2,087",72.72,0.05,-0.20,-,-,0.05,"6,825","26,450.00",130,"3,281.65","3,419.20",780,-,"2,419.80",-,-,-,1,
,"6,207","-3,629","14,389",73.67,0.05,-0.20,-,-,0.05,"80,730","26,500.00",260,"3,374.55","3,383.25",260,-157.55,"3,378.75",122.47,414,-286,121,
,"1,841",282,"4,289",74.62,0.05,-0.20,-,-,0.05,"1,755","26,550.00",130,"3,391.90","3,454.05",780,-,"3,950.50",-,-,-,1,
,"9,165","-4,030","23,597",75.57,0.05,-0.20,-,-,0.05,"79,560","26,600.00",130,"3,467.80","3,541.35","1,755",-313.60,"3,491.40",143.04,39,-12,27,
